Rowid,Country,State lgd code,State,District lgd code,District,Year,Households that applied for a job card,Job cards issued,Job cards issued for scheduled caste,Job cards issued for scheduled tribes,Job cards issued for non scheduled tribes or scheduled caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster rolls filled,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Households that reached a 100 day limit,Persons with disability,Non scheduled tribes or scheduled caste houeholds that worked,Total person days worked by non scheduled tribes or scheduled caste persons.,Scheduled caste houeholds that worked,Total person days worked scheduled caste persons,Scheduled tribe houeholds that worked,Total person days worked scheduled tribe persons,Households that worked on land reform or indira awas yojana,Total person days worked by women,Total person days,Scheduled caste households that reached a 100 day limit,Scheduled tribe households that reached a 100 day limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under mahatma gandhi national rural employment guarantee act (mgnrega),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts
6100,India,29,Karnataka,542,Kolar,2020-21,226462,226445,60724,13381,152340,112764,208412,109894,199933,104960,104521,187075,1136,524,72088,4014238,25989,1333262,6444,354893,0,2845706,5702393,0,0,15704.260,8174.590,15781.260,11622.980,869447.480,337577,356339,341335,15004,1557039992,25425,15054,10371,0
6101,India,29,Karnataka,543,Koppal,2011-12,234163,233913,33257,23789,176867,46915,195904,46895,195843,10209,45636,188795,5911,236,34553,1611614,6501,267957,4582,175478,654,916708,2055049,560,359,4216.820,997.250,5516.130,1280.720,19848.620,147523,91236,22345,68891,408901315,118650,42984,75666,148882720
6102,India,29,Karnataka,543,Koppal,2012-13,203492,202599,30332,22372,149895,32625,103978,32570,103747,4336,28266,84514,1731,307,20343,750326,4755,160668,3168,117562,1167,478073,1028556,284,180,1705.040,2382.270,1708.920,2406.730,9954261.010,109442,138091,26742,111349,156492558,83643,31119,52524,6034944
6103,India,29,Karnataka,543,Koppal,2013-14,221033,219076,32195,23215,163666,73643,262642,73234,261048,35837,51243,179004,4957,422,37470,1966786,8651,418218,5122,257226,1626,1228055,2642230,761,434,4341.320,1896.170,4408.720,1953.520,12377762.450,293387,148431,27692,120739,401512760,70391,26161,44230,217712
6104,India,29,Karnataka,543,Koppal,2014-15,217141,216093,32107,22794,161192,54629,176438,54074,174431,25569,39068,126875,2538,446,28089,1317532,6609,281054,4370,205125,1164,849886,1803711,320,284,3652.290,2582.710,3681.690,2663.980,7048693.950,168977,149868,38504,111364,217282403,57685,22365,35320,4176
6105,India,29,Karnataka,543,Koppal,2015-16,218468,216781,32014,22964,161803,56618,145860,55302,141788,21364,39086,97180,4047,389,28268,1400289,6031,261153,4787,239501,1448,915585,1900943,485,583,3617.630,1925.320,3633.380,1983.520,3851262.950,132796,182226,60022,122204,333569878,42587,17723,24864,1428
6106,India,29,Karnataka,543,Koppal,2016-17,203568,201418,29357,21530,150531,80160,208856,79347,205821,43216,64023,156759,6834,675,46553,2304233,9993,462223,7477,382534,1890,1532740,3148990,785,873,7269.990,2997.570,7310.140,3124.030,8039167.720,129798,221012,144642,76370,574111013,36771,16133,20638,0
6107,India,29,Karnataka,543,Koppal,2017-18,212770,208654,30072,22325,156257,80364,178644,78754,172098,37621,67676,138870,766,454,49608,2173254,10314,451158,7754,338407,1901,1446728,2962819,97,50,6579.850,2730.130,6621.730,2892.930,5482244.320,140074,330597,298837,31760,610186486,34624,15640,18984,0
6108,India,29,Karnataka,543,Koppal,2018-19,226921,222695,31333,23451,167911,88919,186557,87545,180319,37707,79431,158097,9715,620,59465,3213711,10829,545108,9137,466781,2125,2108659,4225600,1098,1009,8833.970,4181.680,8892.570,4278.980,2334876.050,146926,381915,351960,29955,861298425,33296,15276,18020,0
6109,India,29,Karnataka,543,Koppal,2019-20,244190,244084,41401,32100,170583,109294,227546,107833,221108,37603,99456,197731,4593,911,69111,3525244,15900,750398,14445,730992,0,2505279,5006634,0,0,13299.530,7129.780,13346.930,7988.650,1709930.080,131093,478371,447649,30722,1289160146,31586,14732,16854,0
6110,India,29,Karnataka,543,Koppal,2020-21,269507,268170,45147,34445,188578,154225,341013,153598,336994,82877,143673,304511,13786,2135,98850,4781638,24593,1156436,20230,1061516,0,3554477,6999590,0,0,17822.870,6709.330,17975.970,8589.350,954138.540,275066,497446,467469,29977,1747671817,31294,14639,16655,0
