Rowid,Country,State lgd code,State,District lgd code,District,Year,Households that applied for a job card,Job cards issued,Job cards issued for scheduled caste,Job cards issued for scheduled tribes,Job cards issued for non scheduled tribes or scheduled caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster rolls filled,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Households that reached a 100 day limit,Persons with disability,Non scheduled tribes or scheduled caste houeholds that worked,Total person days worked by non scheduled tribes or scheduled caste persons.,Scheduled caste houeholds that worked,Total person days worked scheduled caste persons,Scheduled tribe houeholds that worked,Total person days worked scheduled tribe persons,Households that worked on land reform or indira awas yojana,Total person days worked by women,Total person days,Scheduled caste households that reached a 100 day limit,Scheduled tribe households that reached a 100 day limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under mahatma gandhi national rural employment guarantee act (mgnrega),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts
1,India,1,Jammu And Kashmir,1,Anantnag,2011-12,54411,39369,27,3257,36085,25226,55222,25098,54938,5100,24484,53337,939,19,22289,1057941,18,1027,2177,85060,250,331588,1144028,0,55,1087.270,1073.890,1344.510,1489.250,5449.280,27954,40666,27093,13573,71303212,5875,3264,2611,20954501
2,India,1,Jammu And Kashmir,1,Anantnag,2012-13,67486,55717,30,3820,51867,34569,76605,34380,76096,8942,33738,74034,1702,21,31394,1582363,10,430,2334,97881,349,505959,1680674,0,56,2104.730,1660.000,2111.300,1666.830,839137.360,40190,74081,68437,5644,123892241,2864,1674,1190,8005814
3,India,1,Jammu And Kashmir,1,Anantnag,2013-14,72022,60807,34,3917,56856,38214,66308,38188,66220,13631,34576,57954,1726,26,32889,1407181,21,652,1666,61958,315,365371,1469791,2,36,1901.700,1227.560,1960.410,1292.320,85017.530,36299,84805,79041,5764,185087705,2585,1531,1054,991848
4,India,1,Jammu And Kashmir,1,Anantnag,2014-15,79197,74665,33,4851,69781,21501,36724,21478,36676,6844,17667,28779,242,13,16957,484883,7,210,703,20781,110,127059,505874,0,7,739.090,1040.930,767.270,1066.450,6967.180,19485,116182,110495,5687,70248477,2325,1469,856,121787
5,India,1,Jammu And Kashmir,1,Anantnag,2015-16,91509,86636,37,4976,81623,54947,118467,54939,118339,25124,49756,101614,2921,57,47529,2341948,24,1181,2203,98898,418,700842,2442027,1,84,2358.250,2161.000,2365.920,2186.140,2237866.000,49481,167455,161638,5817,228564362,1892,1408,484,664223
6,India,1,Jammu And Kashmir,1,Anantnag,2016-17,91631,87600,33,4768,82799,47636,102433,47623,102411,14667,42776,87052,892,64,41326,2026537,10,410,1440,61898,274,614857,2088845,0,17,2865.670,2360.840,2870.590,2394.130,627187.820,31906,169927,168816,1111,205101041,1,1,0,0
7,India,1,Jammu And Kashmir,1,Anantnag,2017-18,95866,92541,33,4728,87780,67674,145800,67657,145712,32129,63409,127924,4993,98,60921,4027636,23,1141,2465,149884,415,1381666,4178661,0,108,6824.830,2952.160,6944.820,4958.660,136750.260,40854,202907,202037,870,557016402,1,1,0,0
8,India,1,Jammu And Kashmir,1,Anantnag,2018-19,102984,99887,48,4987,94852,78575,166193,78535,166046,33312,73895,147864,8236,144,70972,5172053,24,1433,2899,193069,483,1807588,5366555,3,155,5400.600,3240.470,5534.250,3272.760,30055.550,43946,210086,209828,258,520269577,1,1,0,0
9,India,1,Jammu And Kashmir,1,Anantnag,2019-20,102924,100170,0,5062,95108,57474,107524,57461,107482,15418,47306,82773,393,83,45061,1920689,0,0,2245,92852,0,706176,2013541,0,0,7708.050,2877.500,7756.120,2902.450,39306.990,66182,211900,211483,417,689244786,1,1,0,0
10,India,1,Jammu And Kashmir,1,Anantnag,2020-21,105521,101238,0,5176,96062,70127,138031,70040,137787,37462,65731,121554,2793,132,62664,4024422,0,0,3067,186065,0,1458645,4210487,0,0,11732.460,3103.570,11814.560,3768.760,44433.190,66453,211305,210939,366,1120193249,1,1,0,0
11,India,1,Jammu And Kashmir,2,Budgam,2011-12,45204,40914,98,1140,39676,20294,26839,20263,26797,7971,20163,26642,850,14,19729,723722,25,883,409,20834,102,46391,745439,0,32,872.480,1102.260,890.290,1181.620,4670.030,12814,28983,25902,3081,50737128,2084,1814,270,5401390
12,India,1,Jammu And Kashmir,2,Budgam,2012-13,56341,52399,123,1161,51115,30461,40046,30352,39859,15262,29991,39327,1906,41,29461,1351742,46,2204,484,22737,167,97181,1376683,2,44,1620.370,2016.290,1633.770,2019.230,2110064.460,26950,48846,46455,2391,124639621,242,240,2,384506
13,India,1,Jammu And Kashmir,2,Budgam,2013-14,60526,55846,68,1271,54507,37725,44821,37692,44777,15781,31442,36686,1304,17,30985,1283655,24,885,433,15864,157,63283,1300404,3,11,1641.790,1659.340,1687.000,1679.930,2574401.820,31286,54133,51991,2142,155058635,9,9,0,9249
14,India,1,Jammu And Kashmir,2,Budgam,2014-15,61066,58594,65,1284,57245,20456,23776,20423,23713,6117,14876,16829,145,3,14653,403177,8,188,215,7556,67,25286,410921,0,0,587.900,1032.470,611.050,1064.410,6556431.760,20670,58025,55984,2041,58155180,8,8,0,0
15,India,1,Jammu And Kashmir,2,Budgam,2015-16,64350,61462,67,1297,60098,32971,40321,32952,40291,10942,26780,31857,335,14,26290,896211,24,650,466,17754,127,49494,914615,0,10,1120.870,1776.270,1130.310,1786.390,17875829.060,40416,60938,59447,1491,103567363,9,9,0,0
16,India,1,Jammu And Kashmir,2,Budgam,2016-17,60890,58171,61,1141,56969,28154,34688,28143,34675,8148,22748,27310,233,10,22353,778197,9,322,386,14622,113,46381,793141,0,7,1127.510,657.480,1137.320,704.150,19250395.060,21713,64656,64055,601,100935879,4,4,0,0
17,India,1,Jammu And Kashmir,2,Budgam,2017-18,64771,61567,62,1222,60283,41837,52870,41825,52855,19027,35814,43691,1000,22,35200,1652382,38,2074,576,26882,176,117190,1681338,1,25,2558.770,1137.720,2596.740,1462.870,10412350.260,28945,71529,71437,92,216036920,4,4,0,0
18,India,1,Jammu And Kashmir,2,Budgam,2018-19,67250,63951,64,1239,62648,36269,45051,36250,45029,14186,29812,35826,894,16,29327,1350186,34,2027,451,17873,110,114410,1370086,1,20,2024.700,1365.450,2047.610,1611.580,7286147.800,28056,74413,74311,102,198115302,3,3,0,0
19,India,1,Jammu And Kashmir,2,Budgam,2019-20,69156,65704,37,1267,64400,32129,39543,32106,39511,10168,24698,29426,140,20,24352,799782,32,909,314,9909,0,71028,810600,0,0,2192.500,975.730,2199.160,1003.010,114889.610,33183,80029,79908,121,204163946,4,4,0,0
20,India,1,Jammu And Kashmir,2,Budgam,2020-21,72412,66863,41,1286,65536,36441,45959,36317,45794,18124,31348,38568,375,30,30860,1302458,28,1342,460,18339,0,135179,1322139,0,0,3761.530,1395.950,3789.510,1531.930,116177.810,36695,80209,80088,121,363521665,4,4,0,0
21,India,1,Jammu And Kashmir,3,Baramulla,2011-12,74828,67717,94,1400,66223,36967,53878,36782,53641,19170,36535,53200,3446,44,35762,1839669,61,3171,712,39527,327,218567,1882367,10,99,2127.380,1904.030,2217.400,2176.750,9547.960,26033,60712,52707,8005,122394982,1185,1122,63,2654117
22,India,1,Jammu And Kashmir,3,Baramulla,2012-13,89077,83112,107,1869,81136,56641,87260,56564,87109,32569,56028,86315,7794,54,54588,3334917,75,6368,1365,101012,396,404679,3442297,35,452,4186.270,3472.260,4190.520,3484.390,18306.020,54856,94816,88060,6756,339209697,507,473,34,989359
23,India,1,Jammu And Kashmir,3,Baramulla,2013-14,92539,86162,112,2204,83846,54888,79561,54824,79415,22870,48057,67600,1647,38,46766,1841472,54,1532,1237,42391,305,227529,1885395,0,13,2705.150,2274.980,2733.410,2315.620,2020271.780,63934,104319,98169,6150,261381117,432,398,34,179521
24,India,1,Jammu And Kashmir,3,Baramulla,2014-15,96538,91794,116,2279,89399,32207,43961,32156,43884,9056,25003,33195,280,19,24334,697514,48,1147,621,16567,94,98107,715228,0,3,966.620,1005.500,975.880,1045.370,1318128.490,32820,115170,109253,5917,97046498,410,378,32,18968
25,India,1,Jammu And Kashmir,3,Baramulla,2015-16,99392,94139,115,2304,91720,50761,74153,50734,74100,22968,44434,63231,1029,31,43263,1621840,61,2253,1110,41311,267,239946,1665404,0,24,2181.330,1712.280,2186.810,1752.500,1337702.230,58711,122171,117082,5089,206391943,304,282,22,67481
26,India,1,Jammu And Kashmir,3,Baramulla,2016-17,93667,88608,112,2094,86402,41805,60001,41774,59948,16853,34865,48547,441,21,33955,1295321,51,1782,859,31748,168,186061,1328851,0,9,2100.820,1227.630,2103.260,1262.980,1429648.280,36702,104632,103105,1527,173795308,148,134,14,23327
27,India,1,Jammu And Kashmir,3,Baramulla,2017-18,93235,87813,114,2049,85650,45524,67786,45496,67739,22135,38890,55341,914,32,38016,1717191,40,1610,834,34470,243,254158,1753271,0,11,3304.010,1410.080,3326.510,2478.980,123300.700,27509,113202,112997,205,273908017,56,56,0,5793
28,India,1,Jammu And Kashmir,3,Baramulla,2018-19,94112,88819,112,2038,86669,42791,63273,42783,63253,19898,36119,51509,948,35,35261,1657642,50,1872,808,35952,218,266398,1695466,0,8,1953.120,897.870,1968.060,930.850,2012770.570,24693,116659,116590,69,187873524,52,52,0,0
29,India,1,Jammu And Kashmir,3,Baramulla,2019-20,95040,90123,34,3159,86930,37324,53144,37304,53111,8432,21256,28199,63,30,20615,554371,9,182,632,12849,0,81092,567402,0,0,2627.240,764.500,2634.190,767.170,2014739.390,42889,120020,119866,154,242711859,40,40,0,0
30,India,1,Jammu And Kashmir,3,Baramulla,2020-21,96047,89228,24,3140,86064,50602,76153,50577,76109,25550,41908,59659,672,47,40610,1739783,9,400,1289,49580,0,290765,1789763,0,0,4285.460,632.150,4305.020,655.310,2020610.160,46457,119427,119298,129,412318739,39,39,0,0
31,India,1,Jammu And Kashmir,4,Doda,2011-12,92188,85365,8271,6664,70430,49752,79060,49647,78902,29157,49241,78097,6948,222,40988,2345271,4644,268103,3609,216106,83,712649,2829480,648,441,3493.960,1353.600,3661.110,1629.460,9685728.470,60487,67376,51979,15397,232459183,5032,1896,3136,23449740
32,India,1,Jammu And Kashmir,4,Doda,2012-13,90842,85992,7718,6267,72007,58819,97574,58741,97431,43648,55695,89600,6830,201,46951,2878545,4800,306229,3944,253764,89,990286,3438538,694,460,4035.430,1126.640,4052.430,1686.870,90450590.730,72116,67498,53026,14472,250469206,1983,866,1117,9412521
33,India,1,Jammu And Kashmir,4,Doda,2013-14,85792,81126,7763,6574,66789,61958,100011,61932,99938,58307,59669,94193,13946,228,49571,3688154,5587,404967,4511,345273,101,1400369,4438394,1257,1015,4421.840,2654.270,4910.670,3127.340,138774275.900,100969,66724,54294,12430,354718105,1619,702,917,9030637
34,India,1,Jammu And Kashmir,4,Doda,2014-15,82262,80055,7469,5960,66626,3570,4909,3443,4720,986,1685,2187,124,0,1445,61933,196,7360,44,2817,0,19853,72110,16,14,1661.370,1391.540,1678.830,1396.960,28335435.040,45391,91689,86367,5322,145985116,759,432,327,677505
35,India,1,Jammu And Kashmir,4,Doda,2015-16,82703,80558,7315,6006,67237,57592,89308,57567,89199,61800,53326,80629,6950,189,44112,2833260,4934,328420,4280,294310,92,1110953,3455990,654,600,2180.760,3344.210,2308.030,3567.530,67045238.570,87347,100300,95423,4877,51781759,744,424,320,30504
36,India,1,Jammu And Kashmir,4,Doda,2016-17,79789,78038,7060,5736,65242,58371,90969,58343,90911,49477,53979,82511,5295,145,44923,2921638,4937,333594,4119,294106,95,1196453,3549338,419,365,5200.350,4574.370,5439.620,5531.910,75127241.920,83825,96949,95549,1400,450041361,187,86,101,546863
37,India,1,Jammu And Kashmir,4,Doda,2017-18,78724,77070,6740,5570,64760,62459,98302,62430,98239,68769,56947,87139,6924,189,47533,3352397,5104,359896,4310,321644,96,1462828,4033937,504,478,5899.850,3977.950,6148.310,7906.690,62801912.820,63714,118518,118208,310,507345737,4,4,0,12982
38,India,1,Jammu And Kashmir,4,Doda,2018-19,81072,79252,6847,5589,66816,54433,84709,54424,84687,47653,51937,79939,3257,156,43297,2571915,4564,264744,4076,258419,89,1193219,3095078,190,202,6392.750,1953.410,6449.640,2947.010,22476983.710,58078,131250,130940,310,619642842,2,2,0,0
39,India,1,Jammu And Kashmir,4,Doda,2019-20,86289,84724,7248,6004,71472,63943,100767,63908,100699,62088,62033,96621,2070,215,52433,3163538,5093,312006,4507,291246,0,1526416,3766790,0,0,6477.390,2137.130,6538.680,2466.080,18565186.460,90059,145860,145414,446,587330023,0,0,0,0
40,India,1,Jammu And Kashmir,4,Doda,2020-21,89529,87668,7283,6117,74268,78983,128205,78954,128150,114888,77737,124941,6298,303,66197,4684952,6260,449668,5280,375880,0,2313513,5510500,0,0,16479.080,2145.310,16560.310,4175.330,14810447.450,135525,146050,145604,446,1592236434,0,0,0,0
41,India,1,Jammu And Kashmir,5,Jammu,2011-12,56790,48519,17266,2214,29039,19728,21023,19621,20906,4531,19320,20573,1720,15,12111,583649,6579,281230,630,45256,58,40689,910135,556,156,1097.050,2370.960,1107.640,2527.080,206295.590,15186,30004,29296,708,66322717,3471,3404,67,26732353
42,India,1,Jammu And Kashmir,5,Jammu,2012-13,77807,67638,22399,4038,41201,40100,43072,40002,42969,12269,39405,42307,6292,23,25120,1620369,11927,692740,2358,181112,80,158757,2494221,1754,714,2589.450,3213.890,2593.160,3401.300,77926117.680,34670,60177,58561,1616,172927348,3210,3203,7,22172912
43,India,1,Jammu And Kashmir,5,Jammu,2013-14,97043,82057,25268,6678,50111,50515,57624,50475,57575,15156,48174,54751,3333,32,30035,1266498,13383,611893,4756,251844,56,279579,2130235,1097,576,2929.210,2576.370,3005.910,2822.260,2907716.820,37873,70521,68953,1568,252670470,1472,1465,7,7970444
44,India,1,Jammu And Kashmir,5,Jammu,2014-15,94223,84573,26081,7231,51261,22078,24591,22046,24550,5751,19899,22144,934,10,11473,431478,5909,235131,2517,103997,37,124160,770606,317,136,1186.580,2472.480,1299.510,2518.420,213935.550,35309,78665,76841,1824,109644198,250,246,4,33351
45,India,1,Jammu And Kashmir,5,Jammu,2015-16,97469,87168,26314,7477,53377,42034,48926,42009,48876,20411,39141,45389,1518,33,23792,1011873,11550,523957,3799,195487,61,254117,1731317,468,256,1904.280,4216.860,1973.280,4438.670,1017976.620,61364,78831,77184,1647,168880689,81,81,0,112779
46,India,1,Jammu And Kashmir,5,Jammu,2016-17,83803,74652,23731,6262,44659,36767,43224,36654,43101,17278,33194,38740,1117,30,19707,864480,10140,462795,3347,176470,65,235173,1503745,377,230,1971.010,3647.140,2089.850,4859.240,319766.390,52900,71502,70119,1383,158675537,50,50,0,19748
47,India,1,Jammu And Kashmir,5,Jammu,2017-18,82941,73342,22983,5600,44759,38995,46765,38915,46652,28259,35907,42491,1402,38,22213,1031054,10408,508101,3286,169198,59,300096,1708353,431,171,2943.660,5926.390,3041.730,12805.620,324154.180,60471,72601,72530,71,235762241,12,12,0,7785
48,India,1,Jammu And Kashmir,5,Jammu,2018-19,79264,70854,21864,5350,43640,23115,26544,22971,26379,15861,19624,22155,141,20,11906,388581,6175,205399,1543,64503,89,117299,658483,55,22,2452.250,343.310,2468.970,809.660,119480.090,40526,79313,79215,98,242910712,12,12,0,0
49,India,1,Jammu And Kashmir,5,Jammu,2019-20,84053,75120,22761,5621,46738,22562,26627,22480,26529,17635,20197,23642,136,22,12270,422776,6207,219086,1720,81695,0,123498,723557,0,0,1212.590,339.440,1226.660,618.810,122793.040,49650,86584,86419,165,118289094,11,11,0,0
50,India,1,Jammu And Kashmir,5,Jammu,2020-21,88471,77417,23337,5860,48220,27458,32713,27396,32632,23366,25866,30682,364,31,16109,655374,7264,295077,2493,149818,0,210894,1100269,0,0,2918.460,655.310,2942.580,920.330,126742.240,56628,86769,86601,168,279487557,11,11,0,0
51,India,1,Jammu And Kashmir,7,Kathua,2011-12,48295,45969,11238,4847,29884,26245,30756,26185,30687,8762,25856,30258,760,27,17405,638176,5550,182901,2901,122954,495,103935,944031,121,105,1134.450,845.890,1138.200,851.350,5452312.150,15340,32044,30621,1423,80228596,1140,1108,32,4087967
52,India,1,Jammu And Kashmir,7,Kathua,2012-13,56751,51889,12338,5130,34421,31200,37095,31077,36927,9256,30540,36121,608,36,20694,782371,6471,212725,3375,144184,585,139168,1139280,126,96,1458.280,843.860,1465.190,854.260,26347151.210,24491,39236,37586,1650,102007658,999,972,27,3869784
53,India,1,Jammu And Kashmir,7,Kathua,2013-14,59549,53448,12592,5118,35738,26988,34399,26964,34363,7633,24376,30297,325,24,16681,481198,5176,132037,2519,84208,383,145452,697443,63,42,1017.720,616.290,1042.490,635.250,13696888.410,26562,43265,41316,1949,96927285,290,282,8,725585
54,India,1,Jammu And Kashmir,7,Kathua,2014-15,60657,57139,13566,5254,38319,8928,10449,8885,10399,1657,7759,8984,38,8,5087,94057,1930,35950,742,15535,156,26133,145542,7,7,170.830,407.560,195.030,441.380,7811176.550,12736,52289,50238,2051,17325514,288,280,8,73790
55,India,1,Jammu And Kashmir,7,Kathua,2015-16,64134,60282,14181,5371,40730,30779,40791,30765,40750,9595,27939,35835,649,48,19254,728339,6325,238740,2360,87877,500,195558,1054956,169,45,1023.470,881.550,1051.860,983.060,61883736.990,26998,58205,55845,2360,109403654,285,277,8,427795
56,India,1,Jammu And Kashmir,7,Kathua,2016-17,59692,56325,13079,5137,38109,31576,41637,31536,41587,8484,25650,32364,390,52,17843,610510,5717,191251,2090,70664,501,142045,872425,117,35,986.810,1358.600,1105.350,1462.070,74653763.370,20859,55684,53550,2134,73436358,16,16,0,2624
57,India,1,Jammu And Kashmir,7,Kathua,2017-18,58284,54767,12435,4976,37356,38475,51698,38433,51632,13389,30854,39820,969,63,21459,867535,6662,261391,2733,112420,519,229475,1241346,185,71,2309.330,2137.560,2404.600,2682.260,70350522.590,27682,63718,63523,195,165252829,11,11,0,0
58,India,1,Jammu And Kashmir,7,Kathua,2018-19,59824,56230,12843,5235,38152,30421,40167,30266,39945,13624,25560,32530,638,41,17342,697800,5783,232743,2435,102644,453,202441,1033187,192,63,1484.640,568.140,1535.560,1858.290,46986437.190,25740,72216,71956,260,143048578,6,6,0,0
59,India,1,Jammu And Kashmir,7,Kathua,2019-20,64496,60260,13799,5493,40968,32663,43451,32572,43330,23630,28862,37260,366,57,19685,726338,6484,250826,2693,104347,0,211360,1081511,0,0,1845.030,711.690,1875.140,899.820,34733554.120,45620,78181,77922,259,170144414,6,6,0,0
60,India,1,Jammu And Kashmir,7,Kathua,2020-21,66472,61179,13695,5445,42039,35530,48509,35372,48249,30527,32908,43717,263,81,23136,861870,6674,250321,3098,114466,0,274818,1226657,0,0,3696.900,950.130,3723.880,1068.370,30485835.510,53705,78250,77988,262,347530972,6,6,0,0
61,India,1,Jammu And Kashmir,8,Kupwara,2011-12,52955,50952,25,1333,49594,13028,18327,12670,17892,3506,12166,17183,386,18,12115,523907,2,60,55,1615,18,87618,525582,0,0,423.310,482.440,489.800,606.150,12704971.350,15207,39123,37378,1745,33276659,343,323,20,255519
62,India,1,Jammu And Kashmir,8,Kupwara,2012-13,76887,74181,23,1785,72373,37517,53039,37262,52706,14108,36691,51760,2829,27,36263,2011387,12,629,416,20011,172,309512,2032027,0,19,2577.390,3080.660,2584.770,3112.010,15916237.010,41985,101044,98826,2218,200523846,1084,1071,13,6073496
63,India,1,Jammu And Kashmir,8,Kupwara,2013-14,88070,83441,90,2723,80628,53363,89104,53336,89015,25422,48991,80391,4605,73,47481,2609657,50,2862,1460,81888,228,653840,2694407,8,161,2879.620,1985.080,2993.330,2100.930,4206381.110,65666,104526,102495,2031,262300035,617,608,9,1061235
64,India,1,Jammu And Kashmir,8,Kupwara,2014-15,86732,84790,102,3362,81326,22321,35674,22264,35557,9670,18948,29787,418,14,18151,650372,23,718,774,23294,72,178446,674384,0,4,1460.360,701.090,1534.080,711.430,877553.430,31553,122741,120714,2027,136143000,286,283,3,261290
65,India,1,Jammu And Kashmir,8,Kupwara,2015-16,92968,90718,109,3414,87195,46710,82687,46663,82528,27990,42787,73891,2282,57,41355,1994966,56,2884,1376,67710,259,558831,2065560,3,75,2126.850,2815.300,2129.690,2876.040,1144858.410,77647,126179,124410,1769,192914851,47,47,0,7708
66,India,1,Jammu And Kashmir,8,Kupwara,2016-17,86228,84430,152,2809,81469,44483,81002,44429,80891,18131,39075,69227,887,75,37747,1757683,85,3639,1243,52112,189,527483,1813434,2,15,2785.900,2359.660,2835.750,2450.920,30564854.660,46616,132857,131256,1601,224448133,21,21,0,9901
67,India,1,Jammu And Kashmir,8,Kupwara,2017-18,88895,86832,156,2123,84553,63103,119414,63066,119320,33608,57047,103430,2319,115,55565,3093507,101,5313,1381,75588,270,942044,3174408,10,45,5237.850,2503.350,5309.660,5025.450,32536774.690,54923,152981,152411,570,415072068,3,3,0,0
68,India,1,Jammu And Kashmir,8,Kupwara,2018-19,91695,89520,160,2718,86642,66931,124227,66918,124167,29363,58574,104250,2585,109,56773,3268673,92,4300,1709,86788,322,1056897,3359761,3,26,3804.990,2590.010,3836.830,4417.100,8222739.540,54249,161938,161364,574,367572811,1,1,0,0
69,India,1,Jammu And Kashmir,8,Kupwara,2019-20,93311,90842,26,2813,88003,56784,103010,56748,102922,20995,47680,82543,307,79,45942,1972394,11,575,1727,81203,0,642200,2054172,0,0,6752.650,2974.520,6777.790,3180.710,530759.810,60306,164711,164263,448,589138451,0,0,0,0
70,India,1,Jammu And Kashmir,8,Kupwara,2020-21,93881,89744,12,2840,86892,65800,119993,65723,119866,37969,60967,107148,720,108,59043,3009611,9,469,1915,96911,0,1029504,3106991,0,0,8081.390,3181.740,8107.340,3608.910,442417.850,72405,158898,158546,352,747920401,0,0,0,0
71,India,1,Jammu And Kashmir,10,Poonch,2011-12,75345,66573,15,26605,39953,26829,35014,26249,34177,11935,25820,33501,2096,106,15844,847671,6,256,9970,520585,56,145300,1368512,0,745,1569.690,80.120,1630.620,863.440,17178813.170,34305,45115,44090,1025,101290383,2380,2200,180,8344810
72,India,1,Jammu And Kashmir,10,Poonch,2012-13,86230,80595,23,28943,51629,42049,58441,41835,58133,29430,41451,57448,7575,101,27175,1848592,10,810,14266,956694,86,424644,2806096,4,2548,2450.310,1047.110,2459.000,1058.900,164655300.500,72947,71767,70549,1218,143330362,4025,3864,161,7933910
73,India,1,Jammu And Kashmir,10,Poonch,2013-14,90031,82521,57,29912,52552,44000,61868,43752,61518,26265,40051,56602,3246,215,26951,1420067,29,1552,13071,708186,178,470136,2129805,0,1047,2874.290,608.060,2975.880,612.790,136306291.300,52097,87494,85678,1816,224623657,1944,1874,70,6256815
74,India,1,Jammu And Kashmir,10,Poonch,2014-15,87367,82724,67,28147,54510,29513,44273,29372,44057,15387,27429,40649,1008,124,18047,706843,18,904,9364,368778,131,296900,1076525,0,322,1519.860,453.150,1725.300,457.210,128069553.000,50266,96420,94330,2090,133308329,1695,1626,69,1578028
75,India,1,Jammu And Kashmir,10,Poonch,2015-16,92447,87030,69,28561,58400,41499,66432,41246,65985,30697,37095,58522,3046,143,24696,1357900,33,2053,12366,688636,166,575005,2048589,2,1135,1846.680,851.100,1881.560,867.520,143685317.500,83509,109611,107143,2468,161967203,1500,1437,63,553333
76,India,1,Jammu And Kashmir,10,Poonch,2016-17,94774,88415,80,27463,60872,44209,69529,44064,69305,26857,39483,61756,3124,184,27052,1571835,37,2522,12394,715673,161,707302,2290030,3,1086,2951.640,1568.870,3046.170,1667.250,58255964.320,73763,91963,89986,1977,239055921,937,906,31,1256797
77,India,1,Jammu And Kashmir,10,Poonch,2017-18,84404,78683,63,23598,55022,44630,70161,44509,69984,28874,40183,60794,3088,193,27843,1574055,38,2152,12302,705033,144,739801,2281240,3,976,2732.790,2025.310,2986.450,2850.000,20983089.760,70554,112315,111878,437,234372006,671,654,17,224132
78,India,1,Jammu And Kashmir,10,Poonch,2018-19,92914,86250,73,24919,61258,52968,84545,52858,84369,35436,48811,75035,2545,222,34546,2007693,44,2548,14221,839140,194,957902,2849381,4,745,4536.710,1312.920,4735.840,1770.970,10720334.760,64549,133973,133100,873,437809665,510,496,14,2685
79,India,1,Jammu And Kashmir,10,Poonch,2019-20,97270,90370,69,25895,64406,60756,99333,60732,99306,64403,57387,90505,1844,242,40895,2304275,44,2052,16448,967648,0,1180021,3273975,0,0,5049.630,1585.760,5198.680,1840.810,11683889.800,96271,139757,138618,1139,382136297,213,210,3,0
80,India,1,Jammu And Kashmir,10,Poonch,2020-21,94319,86288,69,25910,60309,61953,103515,61839,103306,83939,58958,95091,1163,301,40760,2220704,44,2567,18154,1009678,0,1299114,3232949,0,0,10687.520,1239.980,10785.760,1925.830,9287265.450,135434,133294,132389,905,943745401,168,167,1,0
81,India,1,Jammu And Kashmir,11,Pulwama,2011-12,30029,28507,26,1730,26751,15551,19998,15427,19864,5298,15295,19667,330,12,14354,498352,7,244,934,38221,281,40534,536817,0,24,570.930,451.570,634.680,497.920,2301.860,10230,27880,25871,2009,48549394,0,0,0,0
82,India,1,Jammu And Kashmir,11,Pulwama,2012-13,33682,32338,26,1748,30564,17594,23024,17543,22961,5835,16782,21909,417,18,15828,613610,14,366,940,29543,321,43157,643519,1,18,817.980,623.620,819.050,625.420,4267.400,17557,34663,33740,923,65759981,0,0,0,0
83,India,1,Jammu And Kashmir,11,Pulwama,2013-14,39299,37578,7,1762,35809,22944,30261,22929,30233,8356,19760,25503,687,17,18786,739102,1,73,973,35432,310,70093,774607,0,28,1080.730,1013.220,1091.430,1020.970,6291.440,17456,40681,39908,773,105262766,0,0,0,0
84,India,1,Jammu And Kashmir,11,Pulwama,2014-15,42734,41607,4,1802,39801,15875,20315,15844,20269,3977,12814,15900,116,14,12283,329598,1,25,530,12878,203,32678,342501,0,3,480.540,740.760,489.090,752.210,5035.950,14623,47317,46601,716,46847209,0,0,0,0
85,India,1,Jammu And Kashmir,11,Pulwama,2015-16,45721,44276,5,1889,42382,23203,31940,23170,31870,6624,19020,24739,310,21,18125,693003,1,40,894,28823,306,65053,721866,0,14,1066.250,902.440,1070.690,931.360,5038.090,15175,51790,51163,627,104854932,0,0,0,0
86,India,1,Jammu And Kashmir,11,Pulwama,2016-17,45942,44343,5,1893,42445,21683,29125,21652,29081,4736,16376,20902,120,19,15714,645964,0,0,662,18788,250,53477,664752,0,3,733.490,401.360,740.750,487.100,30019.510,8327,48655,48366,289,65257875,0,0,0,0
87,India,1,Jammu And Kashmir,11,Pulwama,2017-18,47096,45251,7,1993,43251,30298,41723,30261,41671,7672,24660,31987,1111,48,23656,1221021,2,58,1002,39650,320,121823,1260729,0,16,2061.580,701.820,2081.010,831.740,33572.230,13452,54353,54262,91,173732911,0,0,0,0
88,India,1,Jammu And Kashmir,11,Pulwama,2018-19,48689,46750,6,1994,44750,28978,39091,28961,39063,7750,24549,31731,1067,47,23653,1267868,3,176,893,47437,308,143391,1315481,0,12,1517.990,1244.730,1525.670,1535.490,37027.640,13790,57026,56915,111,147742780,0,0,0,0
89,India,1,Jammu And Kashmir,11,Pulwama,2019-20,49063,47319,0,2337,44982,24930,33405,24914,33382,3584,16456,21285,99,33,15728,578564,0,0,728,24319,0,75908,602883,0,0,2318.920,895.850,2330.970,910.440,11819.030,18053,60282,60189,93,218107940,0,0,0,0
90,India,1,Jammu And Kashmir,11,Pulwama,2020-21,51439,48339,0,2409,45930,30725,41320,30670,41240,6577,24966,32202,643,57,23750,1093051,0,0,1216,51187,0,131752,1144238,0,0,2740.450,962.810,2752.980,1082.060,16955.720,22084,60742,60649,93,267561491,0,0,0,0
