scheme,variable,coefficient,p_value,ci_lower,ci_upper,significant_05
MGNREGA,const,9.743436485887782,0.17353571890817565,-4.28871834277057,23.775591314546134,False
MGNREGA,literacy_rate,-0.06862883623435187,0.2946866710724806,-0.19699089497003555,0.05973322250133181,False
MGNREGA,rural_pct,0.0037208885131435197,0.8661607793194426,-0.039550347115934435,0.046992124142221474,False
MGNREGA,sc_pct,0.006844543352735881,0.8920795677784208,-0.09203312772400499,0.10572221442947674,False
MGNREGA,st_pct,0.006319644664381591,0.7486784076836008,-0.03234125860487611,0.044980547933639294,False
MGNREGA,below_poverty_pct,0.018749977899583183,0.40609013434550156,-0.02548396085424581,0.06298391665341217,False
MGNREGA,agri_worker_pct,0.025648236858866306,0.4397964085737901,-0.039422584206943445,0.09071905792467605,False
MGNREGA,latrine_pct,0.05621350899552028,0.09110067420960044,-0.008994320026697374,0.12142133801773794,False
MGNREGA,electricity_pct,0.0652893464296651,0.14653895002054082,-0.02284881065819265,0.15342750351752282,False
MGNREGA,women_literacy_pct,0.014487951893846593,0.7655261472239911,-0.08072607550902791,0.1097019792967211,False
MGNREGA,worker_pct,-0.03549924674575212,0.5865810357550887,-0.16344629223207813,0.0924477987405739,False
MGNREGA,muslim_pct,0.047358370587358256,0.06846652621376988,-0.003588158150587016,0.09830489932530354,False
MGNREGA,state_andhra pradesh,-2.0916640975742986,0.7169099361665721,-13.398008601016295,9.214680405867698,False
MGNREGA,state_arunachal pradesh,-6.18416630054226,0.29993506460243946,-17.877262015333237,5.508929414248718,False
MGNREGA,state_assam,-0.44772082826271553,0.9317955900497639,-10.700770378235106,9.805328721709675,False
MGNREGA,state_bihar,8.169769406799954,0.16154086710929128,-3.2684491656186783,19.607987979218585,False
MGNREGA,state_chandigarh,-2.6825886770568794,0.8767031897252271,-36.57097121216781,31.205793858054054,False
MGNREGA,state_chhattisgarh,4.866127764568709,0.3727959182814107,-5.835080839047613,15.567336368185032,False
MGNREGA,state_dadra and nagar haveli & daman and diu,-1.270260526187352,0.8042732519458027,-11.31650105373412,8.775980001359416,False
MGNREGA,state_dadra and nagar haveli and daman and diu,-6.373034232764684e-15,0.6353559168864158,-3.271395940808835e-14,1.9967890942558983e-14,False
MGNREGA,state_delhi,-2.4347254881744917,0.6500776468477772,-12.95369116921982,8.084240192870837,False
MGNREGA,state_goa,-8.801207218978865,0.1362010246105395,-20.377735513779793,2.775321075822063,False
MGNREGA,state_gujarat,0.5166555317043581,0.9188396737166329,-9.421240488256029,10.454551551664746,False
MGNREGA,state_haryana,0.9044366358703918,0.8662533728711191,-9.620856634466245,11.429729906207028,False
MGNREGA,state_himachal pradesh,-1.8025512491378906,0.7406873760741699,-12.477903795365119,8.872801297089339,False
MGNREGA,state_jammu and kashmir,1.5067733606239302,0.789533001033997,-9.557417260812455,12.570963982060315,False
MGNREGA,state_jharkhand,4.626183502961388,0.383712312024043,-5.782950104318062,15.03531711024084,False
MGNREGA,state_karnataka,-2.8894121766181327,0.5763023583432128,-13.023995591890596,7.24517123865433,False
MGNREGA,state_kerala,-4.141080565693786,0.42781274349770104,-14.37687155579192,6.094710424404349,False
MGNREGA,state_ladakh,-11.445331700024063,0.024515956888285794,-21.419978420397435,-1.4706849796506933,True
