state,district,cluster,cluster_label,mgnrega_gap_pct,health_insurance_gap_pct,combined_gap_score
andaman and nicobar islands,nicobars,3,Moderate-gap Mixed,0.0,97.3,48.65
andaman and nicobar islands,north  middle andaman,0,High-gap Rural Low-literacy,15.647921760391197,97.9,56.7739608801956
andaman and nicobar islands,north and middle andaman,0,High-gap Rural Low-literacy,15.776499589153655,97.9,56.83824979457683
andaman and nicobar islands,south andaman,2,Moderate-gap Mixed,15.647921760391197,98.8,57.2239608801956
andhra pradesh,anantapur,1,Moderate-gap Rural,23.08688985985042,26.799999999999997,24.943444929925207
andhra pradesh,chittoor,1,Moderate-gap Rural,17.361576665906178,29.299999999999997,23.330788332953087
andhra pradesh,east godavari,1,Moderate-gap Rural,-0.8266151409054676,33.599999999999994,16.386692429547264
andhra pradesh,guntur,1,Moderate-gap Rural,20.386778556443332,28.900000000000006,24.64338927822167
andhra pradesh,krishna,1,Moderate-gap Rural,21.666482163119586,31.900000000000006,26.783241081559794
andhra pradesh,kurnool,1,Moderate-gap Rural,24.860711675541257,26.700000000000003,25.780355837770628
andhra pradesh,mahabubnagar,1,Moderate-gap Rural,11.658594831049413,28.900000000000006,20.27929741552471
andhra pradesh,prakasam,1,Moderate-gap Rural,15.959673952844156,32.400000000000006,24.17983697642208
andhra pradesh,sri potti sriramulu nello,1,Moderate-gap Rural,11.658594831049413,27.700000000000003,19.679297415524708
andhra pradesh,sri potti sriramulu nellore,1,Moderate-gap Rural,11.658594831049413,28.900000000000006,20.27929741552471
andhra pradesh,srikakulam,1,Moderate-gap Rural,9.3120769025562,24.400000000000006,16.856038451278103
andhra pradesh,visakhapatnam,1,Moderate-gap Rural,11.658594831049413,35.099999999999994,23.379297415524704
andhra pradesh,vizianagaram,1,Moderate-gap Rural,-15.894244447738878,23.299999999999997,3.70287777613056
andhra pradesh,warangal rural,1,Moderate-gap Rural,11.658594831049413,28.900000000000006,20.27929741552471
andhra pradesh,west godavari,1,Moderate-gap Rural,4.595522516858365,32.400000000000006,18.497761258429186
andhra pradesh,ysr,1,Moderate-gap Rural,14.85804145595305,26.700000000000003,20.779020727976526
arunachal pradesh,anjaw,3,Moderate-gap Mixed,3.0822835700884483,82.5,42.791141785044225
arunachal pradesh,changlang,1,Moderate-gap Rural,0.34323984930933443,59.5,29.921619924654667
arunachal pradesh,dibang valley,3,Moderate-gap Mixed,0.6596306068601583,71.3,35.97981530343008
arunachal pradesh,east kameng,3,Moderate-gap Mixed,3.4454244762954827,74.9,39.172712238147746
arunachal pradesh,east siang,3,Moderate-gap Mixed,0.6580149881191703,69.5,35.07900749405959
arunachal pradesh,kra daadi,0,High-gap Rural Low-literacy,9.935438007119595,76.0,42.9677190035598
arunachal pradesh,kurung kumey,3,Moderate-gap Mixed,11.209265802905373,86.6,48.904632901452686
arunachal pradesh,lohit,3,Moderate-gap Mixed,0.0,68.1,34.05
arunachal pradesh,longding,3,Moderate-gap Mixed,0.1906470786139056,76.2,38.195323539306955
arunachal pradesh,lower dibang valley,3,Moderate-gap Mixed,0.9609120521172638,63.2,32.080456026058634
arunachal pradesh,lower subansiri,3,Moderate-gap Mixed,13.969571230982014,75.5,44.734785615491006
arunachal pradesh,namsai,3,Moderate-gap Mixed,0.06761241384873098,69.1,34.583806206924365
